332 U.S. 126,67 S. Ct. 1547,91 L. Ed. 1947,1947 U.S. LEXIS 2987,"BARTELS ET AL., DOING BUSINESS AS CRYSTAL BALLROOM, v. BIRMINGHAM, COLLECTOR OF INTERNAL REVENUE, ET AL.",6/23/1947,3
332 U.S. 134,67 S. Ct. 1716,91 L. Ed. 1955,1947 U.S. LEXIS 2025,FOSTER et al. v. ILLINOIS,6/23/1947,2
332 U.S. 145,67 S. Ct. 1711,91 L. Ed. 1962,1947 U.S. LEXIS 2026,GAYES v. NEW YORK,6/23/1947,2
332 U.S. 155,67 S. Ct. 1569,91 L. Ed. 1968,1947 U.S. LEXIS 2845,"CALDAROLA v. ECKERT ET AL., DOING BUSINESS AS THOR ECKERT & CO.",6/23/1947,2
332 U.S. 168,67 S. Ct. 1584,91 L. Ed. 1977,1947 U.S. LEXIS 2027,"ATLANTIC COAST LINE RAILROAD CO. v. PHILLIPS, STATE REVENUE COMMISSIONER",6/23/1947,2
332 U.S. 174,67 S. Ct. 1588,91 L. Ed. 1982,1947 U.S. LEXIS 2028,"SUNAL v. LARGE, SUPERINTENDENT, FEDERAL PRISON CAMP",6/23/1947,2
332 U.S. 194,67 S. Ct. 1575,91 L. Ed. 1995,1947 U.S. LEXIS 2988,SECURITIES & EXCHANGE COMMISSION v. CHENERY CORPORATION ET AL.,6/23/1947,3
332 U.S. 218,67 S. Ct. 1560,91 L. Ed. 2010,1947 U.S. LEXIS 2029,UNITED STATES v. YELLOW CAB CO. et al.,6/23/1947,4
332 U.S. 234,67 S. Ct. 1599,91 L. Ed. 2022,1947 U.S. LEXIS 2846,"UNITED STATES v. MUNSEY TRUST CO., RECEIVER",6/23/1947,3
332 U.S. 245,67 S. Ct. 1552,91 L. Ed. 2030,1947 U.S. LEXIS 2881,"FAHEY, FEDERAL HOME LOAN BANK COMMISSIONER, ET AL. v. MALLONEE ET AL.",6/23/1947,3
332 U.S. 258,67 S. Ct. 1558,91 L. Ed. 2041,1947 U.S. LEXIS 2882,"EX PARTE FAHEY, FEDERAL HOME LOAN BANK COMMISSIONER, ET AL.",6/23/1947,9
332 U.S. 261,67 S. Ct. 1613,91 L. Ed. 2043,1947 U.S. LEXIS 2924,FAY v. NEW YORK,6/23/1947,2
332 U.S. 301,67 S. Ct. 1604,91 L. Ed. 2067,1947 U.S. LEXIS 2030,UNITED STATES v. STANDARD OIL COMPANY OF CALIFORNIA ET AL.,6/23/1947,2
332 U.S. 319,67 S. Ct. 1634,91 L. Ed. 2077,1947 U.S. LEXIS 2925,UNITED STATES v. NATIONAL LEAD CO. ET AL.,6/23/1947,2
332 U.S. 19,67 S. Ct. 1658,91 L. Ed. 1889,1947 U.S. LEXIS 2865,UNITED STATES v. CALIFORNIA,6/23/1947,
330 U.S. 806,67 S. Ct. 1078,91 L. Ed. 1263,1947 U.S. LEXIS 2475,UNITED STATES v. PULLMAN COMPANY et al.,3/31/1947,2
332 U.S. 371,68 S. Ct. 5,92 L. Ed. 2d 3,1947 U.S. LEXIS 1643,RODGERS v. UNITED STATES,11/10/1947,3
332 U.S. 380,68 S. Ct. 1,92 L. Ed. 2d 10,1947 U.S. LEXIS 2856,"FEDERAL CROP INSURANCE CORP. v. MERRILL ET AL., DOING BUSINESS AS MERRILL BROS.",11/10/1947,4
332 U.S. 388,68 S. Ct. 10,92 L. Ed. 2d 17,1947 U.S. LEXIS 1644,"DELGADILLO v. CARMICHAEL, DISTRICT DIRECTOR, IMMIGRATION AND NATURALIZATION SERVICE",11/10/1947,3
332 U.S. 392,68 S. Ct. 12,92 L. Ed. 2d 20,1947 U.S. LEXIS 2979,"INTERNATIONAL SALT CO., INC. v. UNITED STATES",11/10/1947,2
332 U.S. 407,68 S. Ct. 123,92 L. Ed. 2d 32,1947 U.S. LEXIS 2855,"PRIEBE & SONS, INC. v. UNITED STATES",11/17/1947,3
332 U.S. 422,68 S. Ct. 131,92 L. Ed. 2d 44,1947 U.S. LEXIS 2890,"MORRIS v. McCOMB, WAGE AND HOUR ADMINISTRATOR",11/17/1947,5
